index,source,target
54,"A Guild-approved beverage
that boosts Stamina. Helps
shake off Sleep too!",
55,Dummy.,
56,"A volatile substance that
explodes when struck or
heated.",
57,"Mysterious crystals long
worshiped as a source of
life.",
58,"Medicine made of compounded
Lifecrystals. Heals those
near by with a single touch.",
59,"An amulet that raises 
Attack. Just carrying it
gives you demonic strength.",
60,"Powerful amulet that raises
Attack. Made from a Lao-
Shan-Lung's claw.",
61,"An amulet that raises
Defense. Just carrying it
Hardens your skin.",
62,"A powerful amulet that 
raises Defense. Made with
a Lao-Shan Lung claw.",
63,"Medicine that works as an
anesthetic when combined.",
64,"Meat carved from a monster.
Can be cooked, combined, or
used to lay a trap.",
65,"Raw meat basted with a
fragrant oil that'll make
anyone's mouth water.",
66,"Raw meat basted with a
spicy rub that'll make
anyone's mouth water.",
67,"Raw meat basted with a
refreshing, yet sweet glaze.
Makes anyone's mouth water.",
68,"Raw meat that poisons
anything that eats it.
Great bait for traps.",
69,"Raw meat that paralyzes
anything that eats it.
Great bait for traps.",
70,"Raw meat that causes sleep
in anything that eats it.
Great bait for traps.",
71,"Provides a small boost to
your stamina. This one's
still red in the middle.",
72,"Provides a moderate boost 
to your stamina. Packed
with juicy goodness.",
73,"The pinnacle of steaks.
So juicy and crisp it'll
boost your full Stamina.",
74,"Meat burnt to a crisp. It
might boost your stamina, 
or it might drain it...",
75,"Meat that wards off cold
and boosts a small 
amount of Stamina.",
76,"Meat that fights off even
the worst cold and boosts a
moderate amount of Stamina.",
77,"Meat that wards off the 
heat and boosts a small
amount of Stamina.",
78,"Meat that fights off even
the worst cold and boosts a
moderate amount of Stamina.",
79,"Meat that wards off Poison
and boosts a small amount
of Stamina.",
80,"Meat that fights off Poison
and boosts a moderate
amount of Stamina.",
81,"Lightly cooked fish. Still
pink in the middle, but 
boosts natural recovery.",
82,"Perfectly cooked fish. It's
crispy goodness greatly
boosts your natural recovery",
83,"Double fried fish that
tremendously boosts your
natural recovery. Mmmm.",
84,"Sublime fish that helps you 
heal and boosts your natural
resistances.",
85,"Double-braised fish that  
helps you heal and boosts
your natural resistances.",
86,"Fish burnt to a crisp. 
It might help you heal, or
it might not...",
87,Dummy.,
88,"An unusually-shaped weapon
from abroad that returns to
its user when thrown.",
89,"A standard throwing knife.
Flies straight and true.
{c05} (Supply Item)",
90,"A Throwing knife with a venom
coated blade. Causes Poison.
{c05} (Supply Item)",
91,"A Throwing knife that has 
been coated in sleep agents.
{c05} (Supply Item)",
92,"A Throwing knife coated in
paralyzing toxins.
{c05} (Supply Item)",
93,"A Throwing knife used to
capture ensnared monsters.
{c05} (Supply Item)",
94,"A base material for making
hand thrown bombs.",
95,"Toss this scented paint at
a monster to mark its
location, and track it.",
96,"Flashes brightly on impact.
Toss it under a monsters
nose to blind it.",
97,"A grenade-like item that
emits a high-frequency blast
of sound upon detonation.",
98,"Thats right: monster poop.
The odor reveals (too)
much about a monster's diet.",
99,"When thrown, releases a
strong odor which certain
monsters fall repulsive.",
100,"Creates a large cloud of
smoke wherever it lands.",
101,"Contains a toxic chemical.
Also popular as a
household bug bomb.",
102,Instantly transports you back to base camp.,
103,"An item that cures Stench.
Releases a puff of 
deodorizing smoke when used.",
104,"A hand grenade used to 
capture monsters ensnared in
traps. Toss it at the target",
105,"A very sticky spider's web.
Useful in Net making.",
106,"A sturdy net, able to 
support a certain amount of
weight without breaking.",
107,"A must-have tool for making
Pitfall and other types of
trap.",
108,"A trap for catching certain
large monsters. Triggered
by heavy weight.",
109,"A trap that immobilizes
monsters. Quite versatile. ",
110,"A device used to attract
lightening during rain
storms. ",
111,Dummy.,
112,"A small barrel lid. It has
something drawn on it.",
113,"A small, empty barrel.",
114,"A large, empty barrel.",
115,A small time-bomb.,
116,"Upgraded Small Barrel Bomb.
Not to be taken lightly,
despite its size.",
117,"Powerful bomb triggered by
external, physical impact.",
118,"Upgraded Large Barrel Bomb.
Effective against large
monsters.",
119,"Launches into the air when
set. This modified bomb
requires skill to use.",
120,"An improved version of the
Bounce Bomb. Requires great
skill to use.",
121,"A small time bomb designed
to stick directly to huge
targets. {c05} (Supply Item)",
122,"A bomb for special events.
{c75} (CT item)",
123,"A berry that is hollow on
the inside. Tough enough to
grow practically anywhere.",
124,"Used as bone ammo casing.
Produces sturdier results
than a Huskberry.",
125,"Bone ammo casing made from
larger Wyvern bones. Can
withstand powerful blasts.",
126,"Ammo for novices. Cheap, 
but don't expect much 
damage. Capacity: Unlimited.",
127,"Non-specialized ammo. More
powerful than Lv1.
Capacity: 99",
128,"Non-specialized ammo. More
powerful than Lv2.
Capacity: 99",
129,"Armour-piercing ammo that
sometimes deals multiple
hits. Capacity: 60",
130,"High-grade armour-piercing
ammo. Deals more hits than
Lv1. Capacity: 60",
131,"Max-grade armour-piercing
ammo. Deals numerous hits.
Capacity: 60",
132,"Ammo that spreads out to
cover a wide area.
Capacity: 60",
133,"Ammo that covers a wide 
area. Deals more hits than
Lv1. Capacity: 60",
134,"Max-grade ammo that covers
a wide area. Deals numerous
hits. Capacity: 60",
135,"Ammo that lodges in a target
and explodes. Also deals
Stun. Capacity: 9",
136,"Powerful ammo that lodges
in a target and explodes.
Also stuns. Capacity: 9",
137,"Devastating ammo that lodges
in a target and explodes.
Also stuns. Capacity: 9",
138,"Ammo that divides into three
shells upon impact. Beware
friendly fire! Capacity: 3",
139,"Ammo that divides into four
shells upon impact. Beware
friendly fire! Capacity: 3",
140,"Ammo that divides into five
shells upon impact. Beware
friendly fire! Capacity: 3",
141,"Ammo that packs an extra
punch against enemies weak
to Fire. Capacity: 60",
142,"Ammo that packs an extra
punch against enemies weak
to Water. Capacity: 60",
143,"Ammo that packs an extra
punch against enemies weak
to Thunder. Capacity: 60",
144,"Ammo that packs an extra
punch against enemies weak
to Ice. Capacity: 60",
145,"Mysterious ammo that won't
work in normal Bowguns.
 Capacity: 3",
146,"Ammo that restores a small
amount of health to an ally
upon impact. Capacity: 12",
147,"Ammo that restores a medium
amount of health to an ally
upon impact. Capacity: 12",
148,"Poisons target, but may
require several shots.
Capacity: 12",
149,"Enhanced ammo that inflicts
Poison. May require several
shots. Capacity: 8",
150,"Paralyzes target, but may
require several shots.
Capacity: 12",
151,"Enhanced ammo that inflicts
Paralysis. May require 
several shots. Capacity: 8",
152,"Ammo that induces Sleep.
Some targets may require
multiple shots. Capacity: 12",
153,"Enhanced ammo that inflicts
Sleep. May require several
shots. Capacity: 8",
154,"Bowgun ammo used to capture
monsters ensnared in traps.  Capacity: 8",
155,"Ammo that marks a monsters
position on the map for a
limited time. Capacity: 99",
156,"Ammo that fills the target
with savage amounts of 
strength. Capacity: 5",
157,"Ammo that makes the targets
skin as hard as stone.
Capacity: 5",
158,Dummy.,
159,none,
160,"A regular old empty phial.
Nothing more, nothing less.",
161,"An arrow coating that 
increase the Attack of
arrows. Capacity: 40",
162,"An arrow coating that 
applies Poison effect to
arrows. Capacity: 40",
163,"An arrow coating that 
applies Paralysis effect to
arrows. Capacity: 40",
164,"An arrow coating that 
applies Sleep effect to
arrows. Capacity: 40",
165,Dummy.,
166,"An energetic insect that is
popular as fishing bait.",
167,"Often used as a fishing 
lure. Entices those fishies
to bite.",
168,"A glowing insect that makes
for a great fishing lure.",
169,"Use as a fishing lure to
attract certain aquatic
monsters.",
170,"A nugget-shaped fishing 
lure that makes Tuna go 
""mmm""",
171,"A nugget-shaped fishing 
lure that makes Arrowana go 
""mmm""",
172,"A nugget-shaped fishing 
lure that makes Goldenfish 
go ""mmm"".",
173,"A fly lure that causes a
feeding frenzy no matter
what fish are biting.",
174,"A cheap pickaxe with an
easily nicked blade.",
175,"A pickaxe with a reasonably
strong blade.",
176,"A pickaxe tempered with
steel. This one won't nick
easily.",
177,"A cheap net for catching
bugs. Breaks very easily.",
178,"A durable net for catching 
all sorts of bugs.",
179,"An extra tough net for
catching bugs. This ones 
designed to last.",
180,"Just what you need to cook
Meat. A must-have for any
hungry hunter.",
181,"Cooks faster than a normal
BBQ spit, but also requires
more technique.",
182,"A BBQ spit tailored to the
discerning male hunter.
Makes grilling easy!",
183,"A BBQ spit tailored to the
discerning female hunter.
Makes grilling fun!",
184,"A BBQ spit designed for
Felyne usage. Sometimes
tricky to operate nya.",
185,"Use this premium grill
upgrade kit to take your
BBQ spit to the next level.",
186,"Use this premium grill
upgrade set to add extra
ingredients to your Meat.",
187,"A BBQ set in a state where
Raw Meat is set. All you have
to do is cook it well.",
188,"A BBQ set in a state where
Cooked Meat is set. All you
have to do is cook it well.",
189,"A BBQ set in a state where
Spicy Meat is set. All you have
to do is cook it well.",
190,"A BBQ set in a state where
Cool Meat is set. All you have
to do is cook it well.",
191,"A BBQ set in a state where
Poisoned Meat is set. All you have
to do is cook it well.",
192,"A BBQ set in a state where
Fish is set. All you have
to do is cook it well.",
193,"A BBQ set in a state where
Large Fish is set. All you have
to do is cook it well.",
194,Dummy.,
195,Dummy.,
196,"A standard Whetstone. Use 
it restore a weapon's 
sharpness.",
197,"Allow you to see farther 
and observe from a distance.",
198,"Junk created when a 
combination attempt fails.",
199,"Used to attract certain
monsters-use at your own
risk. Breaks easily.",
200,"Restores health to those
who hear it. May break when
used.",
201,"Eliminates Poison in the 
blood of those who hear it.
May break when used.",
202,"Increases the strength
of those who hear it.
May break when used.",
203,"Bolsters the defenses
of those who hear it.
May break when used.",
204,"Sweet,golden honey. High in
nutritional value.",
205,"A strange herb that can
only be harvested during 
the day. Good for combining.",
206,"A strange herb that can
only be harvested at night.
Famous for its sweet aroma.",
207,"Restores a very small amount 
of Health. Not very 
flavourful.",
208,"A plant used in Antidotes.
Sometimes cures Poison by
itself.",
209,"A wondrous, flammable
plant.",
210,"A lightweight and extremely
durable plant.",
211,"A plant containing sleep
inducing agents.",
212,"A plant with leaves coated
in sticky sap. Difficult to
remove once attached.",
213,"Melynxe's favourite food--
they just have to steal it.",
214,"Possesses antidotal
properties, but will not
work by itself.",
215,"A flower that dislikes 
light and blooms in darkness
{c05} (Account Item) ",
216,"Blazingly spicy. Sure It'll
warm you up, but its too
hot to use on its own.",
217,"A pinky-sized mushroom
valued for its unusual
aroma. {c05} (Account Item)",
218,"The perfect shape and aroma.
Even better than a Unique
Mushroom. {c05} (Account Item)",
219,"A Unique Mushroom made more
unique by maturing its 
flavour. {c05} (Account Item)",
220,"Rare mushroom with a power 
enhancing effect.",
221,"A hard-to-find mushroom
with a peculiar ability to
generate heat.",
222,"A mushroom that induces
paralysis.",
223,"Logic says not to eat this
poisonous fungus. But don't
write it off completely.",
224,"This one has a very strange
aroma. But is it edible?
Only one way to find out!",
225,"A dangerous fungus said to
draw the life out of people.
Beware!",
226,"A strangely spicy mushroom
popular with chefs.
{c05} (Account Item)",
227,"A strange mushroom found
only at night. It can't be
eaten on its own.",
228,"A beautiful flower with
shimmering petals. A popular
ingredient in many dyes.",
229,"A berry with a shocking hue
and unmistakable scent.
Careful;it WILL stain!",
230,"Improves energy flow when
ingested, temporarily
raising Attack power.",
231,"Improves energy flow when
ingested, temporarily
raising Defense power.",
232,"A mysterious berry, rumored
since ancient times to be
loathed by dragons.",
233,"A nut that violently
ejects its contents when
struck.",
234,"A berry covered in needle-
like thorns. Used as a 
material for ammo.",
235,"A berry that explodes when
stuck.",
236,"This fragment of a once
magnificent shell may still
have some value.",
237,"A pearl with a black glow.
fetches a high ",
238,"Stone that glows faintly
upon contact with sunlight.
Enhances metal's strength.",
239,"A small rock. It can be
thrown.",
240,"Ore that can be smelted 
down into metal. Has 
countless uses.",
241,"Crystallized microbes which
are prized as an abrasive
when forging weapons.",
242,"An ore that yields better
metal than Iron Ore. Used
to make Machalite.",
243,"A rare and valuable ore
that produces metal 
superior to Machalite,",
244,"An ore still being 
researched. It yields even
better metal than Dragonite.",
245,"Ore used to fuse other metals
together. Sometimes called
Dovestone.",
246,"Combusts at room temperature
Often used to fuse different
materials together.",
247,Dummy.,
248,"A combustible rock which
emits a faint warmth.
{c05} (Account Item)",
249,"An extremely hard substance
with a faint glow. 
Sometimes used in smithing.",
250,"A brightly glowing crystal.
Extremely hard, its often
used in workshop tools.",
251,"A man-made crystal with
enhanced antiseptic 
properties.
",
252,"Ice that won't thaw, even
at room temperature. Used
to create denser ore.",
253,Dummy.,
254,"A large, beautifully 
coloured flowering plant
foreign to this land.",
255,"Oily nuts often used in 
official Guild beverages.
They can stain the skin.",
256,"A strange amber-coloured
ice often found full of
trapped insects and plants.",
257,"The pouch carried by Melynx.
Its a mess inside.
{c05} (Account Item)",
258,"A fish with a dorsal fin
hard enough to be used to
sharpen weapons.",
259,"A delicious fish that 
restores a small amount of
health when consumed.",
260,"A fish that contains 
sleeping agents.",
261,"A fish with jaws covered
in tiny, needle-like spines.",
262,"A fish that literally pops
open when it dies.",
263,"A fish that splits into 
little pieces when it dies.",
264,"A fish that bursts open
when it dies.",
265,"A fish that violently
explodes when it dies.",
266,"An especially large Knife
Mackerel. Use its fin to
really sharpen those blades.",
267,"A huge Sleepyfish. Just 
touching it makes you feel
a little drowsy.",
268,"A huge Pin Tuna. Covered in
thousands of extra prickly
spikes.",
269,"A massive Burst Arrowana.
At this size, it could be
dangerous!",
270,"A massive Bomb Arrowana.
At this size, it could be
deadly!",
271,"A fish that eats anything--
allowing you to sometimes
get items from its stomach",
272,"An enormous Glutton Tuna.
Will eat anything no matter
the size.",
273,"An rare fish made of solid
gold. Sell it for a tidy
sum. {c05} (Account Item)",
274,"A giant fish that is both
rare and valuable. It looks
like it could be useful?",
275,"A small,rare,gold fish. 
Commands a high price.",
276,"A small,rare,silver fish. 
Commands a high price.",
277,"A precious fish; almost
every part can be used as a
material.",
278,"These massive, regal shrimp
are famous for consuming
their male mates.",
279,"The remains of a dead 
insect. Only a hard-core
collector would keep this.",
280,"A strange grub often found
near yams. A favourite
snack for tuna of all kinds.",
281,"A grasshopper with a foul
odor. When used as a lure it
drives arrowana wild.",
282,"An unusual larvae to make
fishing lures with; its
scent drives rare fish wild.",
283,"An insect said to live for
a thousand years. At least
according to legend.",
284,"A bitter-tasting bug with
innate healing properties.
50% chance to cure Poison.",
285,"An insect that emits a 
powerful flash upon death.",
286,"An insect that emits an
electrical shock when 
struck. Has many uses.",
287,"The royal class of scarabs.
Has a hard shell and
lustrous wings.",
288,"A cricket-like insect that
disgorges an extremely
durable adhesive.",
289,Dummy.,
290,"An insect with dazzling
wings. Its rough shell is
often used as an abrasive.",
291,"A rare and valuable insect
that greatly aids in the
bonding of metals.",
292,"A beetle with a jewel-like
gleam collectors pay 
dearly for. {c05} (Account Item)",
293,"Onion with a wild taste 
often found in humid
climates.  {c24} (Cooking Item)",
294,"A refreshing cactus regarded
as a delicacy. Watch the
Thorns! {c24} (Cooking Item)",
295,"A prized vegetable that
won't make you cry when you
cut it! {c24} (Cooking Item)",
296,"An icy-cold tomato that
somehow still remains juicy.
{c24} (Cooking Item)",
297,"A hideous looking fungus
with a deceptively tasty
flavour.  {c24} (Cooking Item)",
298,"A nutritious grain native
to cold climates. Has a mild
sweetness.  {c24} (Cooking Item)",
299,"An indispensable mixture of
several beans used for many
dishes.  {c24} (Cooking Item)",
300,"Twice baked, rock-hard 
bread. Can't be eaten as
is. {c24} (Cooking Item)",
301,"A silky smooth grain loved
by people everywhere!
{c24} (Cooking Item)",
302,"Mystical legumes valued for
cooking since ancient times.
{c24} (Cooking Item)",
303,"A white-coloured liver,
popular for its juicy 
texture. {c24} (Cooking Item)",
304,"Popo Tongues are popular,
healthy, and fun to eat!
{c24} (Cooking Item)",
305,"Beloved by connoisseurs
despite its... interesting
appearance. {c24} (Cooking Item)",
306,"A thin, stringy piece of
rather bland Remobra meat.
{c24} (Cooking Item)",
307,"Tough and rare meat used to
make truly mystical meals.
{c24} (Cooking Item)",
308,"A strange fish, with a music
note shaped scale pattern.
{c24} (Cooking Item)",
309,"An unusually long, snake-
like fish with a delicate
flavour. {c24} (Cooking Item)",
310,"These tiny beetles have a
shockingly sweet flavour.
{c24} (Cooking Item)",
311,"A worm often used in cooking
due to its spicy flavour.
{c24} (Cooking Item)",
312,"A predatory insect with a
strangely comforting 
flavour. {c24} (Cooking Item)",
313,"Said to be the world's
strongest bug. Used in 
forging and other things.",
314,"A crimson oil that adds
heat to any dish!
{c24} (Cooking Item)",
315,"A rich lard used to fortify
cooked meals.
{c24} (Cooking Item)",
316,"Jam said to extend the life
of those who eat it.
{c24} (Cooking Item)",
317,"This substance is used to
enhance other ingredients
flavours.  {c24} (Cooking Item)",
318,"Butter that boosts energy 
when used in a dish.
 {c24} (Cooking Item)",
319,"Cooking ingredient. Luxury
cheese that's used lavishly
in top-class cuisine.",
320,"Ale beloved by both rich
and poor. Very high alcohol
content. {c24} (Cooking Item)",
321,"High-class wine that's been
Rated the best in Mezeporta.
{c24} (Cooking Item)",
322,"Regarded as the ""king of 
beer"". Quite valuable and
rare. {c24} (Cooking Item)",
323,"Common in food, yet still
quite valuable. It has an 
odd colour.  {c24}(Cooking Item)",
324,"Small crackers loved by 
Poogies. Careful they'll
follow them anywhere!",
325,Dummy.,
326,"A monster organ that emits
and earsplitting sonic
blast when ruptured.",
327,"A monster organ that holds
a deadly toxin. Handle with
extreme care.",
328,"A monster organ that 
contains paralyzing 
neurotoxins.",
329,Dummy.,
330,"A monster organ that 
contains a knockout powder
capable of inducing sleep.",
331,Dummy.,
332,"A monster organ filled with
a flammable powder. Handle
with extreme care.",
333,"A monster organ that can 
store electricity, releasing
it upon impact.",
334,"A mysterious substance 
culled from monsters
that increases endurance.",
335,"Has the ability to enhance
certain types of medicine.",
336,"A very useful material;
indispensable for both
hunting and daily",
337,"A nicely sized bone. Strong
yet flexible, its as 
reliable as steel and wood.",
338,"Wyvern bone needed to craft
larger items. Often fused 
onto monster shells.",
339,"A high-quality monster bone.
Hard to find, but vital for
crafting powerful gear.
",
340,"Bone from an elder dragon.
It exudes the great majesty
of the beast.
",
341,"A weathered bone not sturdy
enough for use in crafting.
",
342,"An animal skull so worn
and weathered its 
unidentifiable.
",
343,"The skull of a top hunter
who got a little too 
careless during a hunt.
",
344,"A long, thin bone. Junk no
matter how you slice it, but
not completely worthless.",
345,"A large, thick bone often
cut apart in workshops for
use in crafting.",
346,"Used in Bowgun bullet tips.
Gunpowder shatters these, 
generating shrapnel.",
347,"Used in Bowgun bullet tips.
Gunpowder triggers a blast
with a wide radius.",
348,"Throughout a Wyvern's life,
impurities gather and form
this peculiar gem.",
349,"Bitter tears wept by 
wyverns on certain 
occasions.  {c05} (Account Item)",
350,"Droppings left by certain
monsters to mark territory.
{c05} (Account Item)",
351,"A jewel formed inside the
body over many, many years.
{c05} (Account Item)",
352,"A jewel formed inside the
body over many, many years.
{c05} (Account Item)",
353,"A dragon scale that time has
reduced to this sad husk.
{c05} (Account Item)",
354,"An ancient dragon scale 
prized as an ingredient in
medicines.  {c05}(Account Item)",
355,"A musty hide covered in
moss.",
356,"An entire Mosswine head.
Quite the prize for most
hunters.",
357,"The pelt of a Bullfango.
Covered in bristly fur.",
358,"A Bullfango head, complete
with two splendid tusks.",
359,"The hide of a Bulldrome.
Its bristliness has a 
certain beauty to it.",
360,"The tough, unblemished hide
of a Bulldrome.",
361,"An infusion of powdered 
Kelbi Horn that works
wonders on Stomachaches.",
362,"A pelt used for many things,
but mostly just regular
clothes.",
363,"A soft, thick pelt used for 
many things, but mostly 
insulating clothes.",
364,"An antler often used as raw
material for armour. Also
used as decoration.",
365,"A sharp, durable fang taken 
from a Velociprey. Used to 
make Bowgun ammo.",
366,"A scale obtained by carving
up a Velociprey. Blue and
black in colour.",
367,"A scale obtained by carving
up a Velociprey. It can be
made into durable armour.",
368,"Hide stripped of its scales.
Used to join plates in a
suit of armour.",
369,"The hide of a Velociprey leader.
It bears the scars of a
leadership role.",
370,"Claw from an alpha Velociprey.
Sharp and blade-like.",
371,"The sharp claw of a Velocidrome.
It can easily slice through prey.",
372,"Large head with a crest.
You'd look pretty fierce if
you put it on.",
373,(This item is unused),
374,(This item is unused),
375,"Poisonous fang from a Genprey.
Paralyzing toxin even works
on wyverns.",
376,"Scale from a Genprey. Acts as
camouflage in the desert zone.",
377,"Scale taken from a Genprey.
Strong enough to repel a
wyvern's fangs.",
378,"A hide with all the scales
removed. Can be tanned
at the fort.",
379,"Sturdy green hide from a
Gendrome. Perfect for making
strong armor.",
380,"The skull of a Gendrome is
noted for its two crests.",
381,"Fang filled with deadly poison.
Care is required when
handling it.",
382,"The dangerous poison normally
in the scale has been
removed.",
383,"Scale stripped from an Ioprey.
Can be used, once the
poison is removed.",
384,"Descaled hide, often made into
belts. Red belts are used in
decorations.",
385,"Sturdy red hide from an Iodrome.
Perfect for making strong armor.",
386,"The large crest on an Iodrome's
skull is enough to catch
the eyes of all.",
387,"Pink colored scale from a
Kut-Ku. Fire-resistant. Can be
found in the field.",
388,"The fire resistant shell of a
Kut-Ku. Quite resistant to fire.",
389,"Harder than Kut-Ku Shell,
this material is also known
as Gravite.",
390,"The Fire resistant ear of a
Kut-Ku. Used to prevent Bowgun
flash-back.",
391,"Kut-Ku's fire resistant ear.
The flexible material is a good
base for armor.",
392,"The huge, sturdy beak of
a Yian Kut-Ku.",
393,"Finding a large, beautiful beak
in this shape is quite rare!
Splendid!",
394,"Webbing froma  Kut-Ku wing.
Better as a fusing material
than animal skin.",
395,"Scale of the extremely rare
Blue Kut-Ku. Makes vivid blue
armor.",
396,"Shell of a rare Blue Kut-Ku.
The vivid blue makes it a
popular item.",
397,"Rare Blue Kut-Ku Carapace.
Harder than its shell, often
used in crafting.",
398,"Highly elastic Gypceros hide.
A good insulator, resistant
to electricity.",
399,"High quality, highly elastic
Gypceros hide. Gives off a
strange scent.",
400,"The uniquely shaped head of
a Gypceros. A must have for
Gypceros lovers!",
401,"A rarely seen Purple Gypceros
hide. The chic purple hide is
en vogue.",
402,"A seldom seen purple wing
from a Gypceros.
Incredibly valuable.",
403,"Internal organ from a Piscine
Wyvern. A great cure-all.
{c05}(Account Item)",
404,"Fang from a Plesioth or Cephalos.
Used to hold and kill prey.",
405,"An incandescent scale from
a Plesioth. Becomes brittle if
it dries out.",
406,"A faintly shining scale from
a Plesioth. It keeps shining even
when dry.",
407,"A beautiful fin from a Plesioth.
The spikes are stunningly
poisonous.",
408,"Scale of a mysterious Green
Plesioth. It has a emerald-like
glow.",
409,"A beautiful fin from a Green
Plesioth. Often used in
decoration.",
410,"A sand wyvern scale.
Its color is a brilliant blue.
Retains moisture.",
411,"High quality sand wyvern scale.
Its color is a stunning blue.",
412,"A sand wyvern fin.
It isn't poisonous,
but it's very sharp.",
413,"A high quality fin from
a Cephalos. Sharper than the
normal version.",
414,"A coral sand wyvern scale.
The vivid purple is popular
with hunters.",
415,"A coral sand wyvern fin.
The faint pink color is
quite cute.",
416,"A scale from a Rathian.
Its focus is her nest.
Its mate is a male Rathalos.",
417,"The scale of a Rathian.
It appears to be normal,
but its stiffness is not.",
418,"The fiery scale from
the tail of a Rathian.",
419,"A rare, precious gem from
inside a wyvern.
Almost too nice to use.",
420,"Shell from a Rathian,
comprised of numderous scales.
Very hard.",
421,"Harder than a Rathian Shell,
this material is also
known as Gravite.",
422,"Spike-like hair from the back
and wings of a Rathian.
Poisonous.",
423,"A hair from a Rathian, even
stronger than a sword.
Longer than normal.",
424,"Scale from a Pink Rathian,
that resembles a dream-like
flower petal.",
425,"Scale from a Pink Rathian.
The color masks its true
strength.",
426,"Shell from a Pink Rathian.
It hardened during
adolescence.",
427,"Harder than Pink Rathian
Shell. Its beautiful color is
often used in armor.",
428,"Scale carved from the body
of a Gold Rathian.
Brilliant, even at night.",
429,"A hard shell covered in
shining gold scales.
As gorgeous as a gold bar.",
430,"Claw that grows on the
wing of a fire wyvern.
Can be cut off in battle.",
431,"A material obtained via
new carving techniques.
Highly combustible.",
432,"A scale from a Rathalos.
Wyvern scales and shells are
basic crafting items.",
433,"A scale from a Rathalos,
it is extraordinarily strong.",
434,"A fiery scale from the tail
of a Rathalos.",
435,"A precious gem from inside
a wyvern. Sending it to be
processed is excruciating.",
436,"Shell from a Rathalos,
comprised of numerous scales.
Very hard.",
437,"Harder than a Rathalos shell,
this material is also known
as Gravite.",
438,"The tail of a Rathalos.
A multi-purpose item.",
439,"This heat-resistant material
is often used as armor lining.",
440,"A valuable item.
Used by smiths at the armory
to make powerful equipment.",
441,"The scale of an Azure
Rathalos. It is the deep
blue of the night sky.",
442,"Scale of an Azure Rathalos.
Its strength is higher than
its beauty.",
443,"The shell of an Azure Rathalos.
Made of scales hardened
at adolescence.",
444,"Harder than an Azure Rathalos
Shell. Its beauty is desirable
for armor.",
445,"Severed tail of an Azure
Rathalos. Its rarity and high
value are linked.",
446,"Wing shed by an Azure
Rathalos. Used to make both
weapons and armor.",
447,"Quality scale carved from
the Silver Rathalos. It has a
moon-like shine.",
448,"The silver scales of this
hard Silver Rathalos Carapace
have a icy spine.",
449,"Severed tail of an Silver
Rathalos. Its rarity and high
value are linked.",
450,"Webbing of a Silver Rathalos.
Very valuable as a workshop
material.",
451,"Wing shed by a Silver Rathalos.
Hunters long for its
shining glory.",
452,"Workable as a material after
recent advances.
Had mysterious properties.",
453,"The tanned hide of a Khezu.
Its strange properties are
a mystery.",
454,"Rib bone from a Khezu
with meat still attached.",
455,"Fatty red meat from a Pale
Khezu. Looks tasty, but
cannot be eaten.",
456,"Red Khezu hide polished
to a luster. Just looking at it
makes you feel strange.",
