index,source,target
40,斬れ味鋭い、蒼き甲殻剣。{j}最も良質なブレードのみ、{j}その刃先に利用される。,A keen-edged azure carapace sword.{j}Only the finest blades are used{j}for its tip.
41,骨加工の特徴である属性強化。{j}剣を振ったときに、ヒレの刃{j}から高圧縮の水が出る。,"Element enhancement, a hallmark of bone working.{j}When the sword is swung, highly compressed water{j}shoots from its fin blade."
42,雄火竜リオレウスの翼を模し{j}てつくられた大剣。火炎袋に{j}より発火作用が得られる。,A Great Sword made in the likeness of the male fire{j}wyvern Rathalos's wings. Its flame sac provides a{j}stronger igniting effect.
43,雄火竜リオレウスの翼を模し{j}てつくられた大剣。火炎袋に{j}より発火作用が得られる。,A Great Sword made in the likeness of the male fire{j}wyvern Rathalos's wings. Its flame sac provides a{j}stronger igniting effect.
44,大剣としての機能は果たして{j}いない錆びた武器。{j}結晶研磨加工していくと…。,A rusted weapon that does not{j}fulfill its function as a Great Sword.{j}As you crystal-polish it...
45,大剣としての機能は果たして{j}いない錆びた武器。{j}結晶研磨加工していくと…。,A rusted weapon that does not{j}fulfill its function as a Great Sword.{j}As you crystal-polish it...
46,斬れ味鋭い、蒼き甲殻剣。{j}最も良質なブレードのみ、{j}その刃先に利用される。,A keen-edged azure carapace sword.{j}Only the finest blades are used{j}for its tip.
47,工房では精製できない金属で{j}できており、現在研究対象物{j}として取り扱われている。,"It is made of a metal that cannot be refined at the{j}Workshop, and is currently handled as a research{j}subject."
48,ただの骨。武器とは言い難い。{j}{j},Just a bone. Hardly a weapon.{j}{j}
49,幾百の暦を経た龍木刀。{j}〜龍ヨリ生マレシ古木ノ心{j}　アマネク命全テヲ封ズル〜,A Dragonwood Long Sword that has seen hundreds of{j}years. ~The heart of an ancient tree born from a{j}dragon Sealing all life far and wide~
50,老山龍の角と紅蓮石を熱融合{j}させてつくられた逸品。{j}龍殺しの武器の１つである。,A masterpiece made by heat-fusing{j}Lao-Shan Lung horns with Firestone.{j}It is one of the dragon-slaying weapons.
51,老山龍の角と紅蓮石を熱融合{j}させてつくられた逸品。{j}龍殺しの武器の１つである。,A masterpiece made by heat-fusing{j}Lao-Shan Lung horns with Firestone.{j}It is one of the dragon-slaying weapons.
52,ドスランポスの鋭い爪を利用{j}した、ブレイズブレイドの亜{j}流品。蛇の頭を模した大剣。,A variant of the Blaze Blade that utilizes{j}Velocidrome's sharp claws. A Great Sword modeled{j}after a snake's head.
53,二種類のディアブロスの素材{j}を混ぜた斧大剣。その一撃は、{j}大地を割り、大山を崩す。,An axe-like Great Sword made by mixing materials{j}from two kinds of Diablos. Its single blow{j}splits the earth and crumbles mountains.
54,ドスランポスの鋭い爪を利用{j}した、ブレイズブレイドの亜{j}流品。蛇の頭を模した大剣。,A variant of the Blaze Blade that utilizes{j}Velocidrome's sharp claws. A Great Sword modeled{j}after a snake's head.
55,扱い次第で強力な威力を得る。{j}溜め攻撃は目を見張る威力！{j}武器によるガードは無い。,Its power depends on how it is wielded.{j}Its charged attacks have staggering power!{j}It cannot guard with the weapon.
56,扱い次第で強力な威力を得る。{j}溜め攻撃は目を見張る威力！{j}武器によるガードは無い。,Its power depends on how it is wielded.{j}Its charged attacks have staggering power!{j}It cannot guard with the weapon.
57,より純度の高い鉄を精製し、{j}攻撃力を強化した大槌。{j},"Forged from higher-purity iron,{j}this Hammer has enhanced Attack.{j}"
58,融点が異常に高い鉱物を使用。{j}熱した状態で振り回し、対象{j}を溶かすという恐ろしい鎚。,"A terrifying hammer made from a mineral with an{j}abnormally high melting point. Swung while{j}heated, it melts whatever it strikes."
59,より純度の高い鉄を精製し、{j}攻撃力を強化した大槌。{j},"Forged from higher-purity iron,{j}this Hammer has enhanced Attack.{j}"
60,鋼鉄の塊と呼ぶにふさわしい{j}巨大なハンマー。怪力自慢の{j}持つ鉄鎚といえよう。,"A giant hammer worthy of being called a mass of{j}steel. You could say it is an iron mallet wielded{j}by, who boasts superhuman strength."
61,強力な突進を持つドスファン{j}ゴの素材を使用したハンマー。{j}東方由来の武器とされている。,A Hammer made from materials of a{j}Bulldrome known for its powerful charge.{j}It is said to be a weapon of Eastern origin.
62,漆黒の角と真紅の角の競演。{j}この迫力は角竜の突進を思わ{j}せる。この破壊力の前には…。,A duel between jet-black horns and crimson horns.{j}This force calls to mind a Horned{j}Wyvern's charge. Before such destructive power...
63,アイアンストライク最終強化{j}版。長き強化により、攻撃力{j}斬れ味ともに最大級。逸品。,"The final upgrade version of Iron Strike. Through{j}long upgrades, both attack and sharpness are{j}top-class. A masterpiece."
64,強化されたハリの実を仕込ん{j}だ鎚。溜め攻撃の際に中から{j}鉄針が飛び出す仕掛けがある。,A Hammer packed with{j}reinforced needle berries. A mechanism fires{j}iron needles from within on a charged attack.
65,強化されたハリの実を仕込ん{j}だ鎚。溜め攻撃の際に中から{j}鉄針が飛び出す仕掛けがある。,A Hammer packed with{j}reinforced needle berries. A mechanism fires{j}iron needles from within on a charged attack.
66,スパイクハンマー強化版。{j}高価なクリスタルを惜しげも{j}なく使用した贅沢な逸品。,An upgraded Spike Hammer.{j}A luxurious piece that uses precious{j}crystals without reserve.
67,スパイクハンマー強化版。{j}高価なクリスタルを惜しげも{j}なく使用した贅沢な逸品。,An upgraded Spike Hammer.{j}A luxurious piece that uses precious{j}crystals without reserve.
68,工房で使用していた魂の宿る{j}金床を、ハンマーに改造した{j}もの。斬れ味の安定は随一。,"An anvil that houses a soul and was used in the{j}Workshop, remodeled into a Hammer. Its sharpness{j}stability is second to none."
69,毒の怪物と呼ばれ恐れられる、{j}異形の鎚。使用される毒物は、{j}通常の規格から外れた特注品。,A grotesque Hammer feared as a poison monster.{j}The poison used is a custom-made item{j}that falls outside normal specifications.
70,外形に改造を施し、空気抵抗{j}を少なくしたハンマー。形は{j}斧に近いが、打撃武器である。,"A hammer modified externally to reduce air{j}resistance. Its shape is close to an axe, but it is{j}a blunt weapon."
71,エビの殻を用いて作成され{j}たハンマー。わずかにではあ{j}るが水属性を持つ。,"A Hammer made from shrimp shells. Has a Water{j}element, albeit slight.{j}"
72,外形に改造を施し、空気抵抗{j}を少なくしたハンマー。形は{j}斧に近いが、打撃武器である。,"A hammer modified externally to reduce air{j}resistance. Its shape is close to an axe, but it is{j}a blunt weapon."
73,グラビモスの甲殻を使用して{j}作られた、超重量の殻鎚。{j}その一撃は岩をも砕く。,An ultra-heavy shell hammer made using{j}Gravios carapace.{j}Its blow can shatter even rock.
74,錨を模した巨大なハンマー。{j}海の漢の暑苦しい情熱が{j}いっぱい詰まっている。,A giant Hammer modeled after an anchor.{j}The suffocating passion of a man of the sea{j}is packed full.
75,ドドブランゴの素材を使用し{j}たハンマー。振るう度に噴き{j}出す冷気は魂さえも凍らせる。,A Hammer that uses{j}Blangonga materials. The cold air that spouts{j}out each time it is swung freezes even the soul.
76,イャンガルルガの素材から作{j}られた黒槌。強烈にしゃくれ{j}た嘴は圧倒的な破壊力を生む。,A black mallet made{j}from Yian Garuga materials. Its fiercely{j}jutting beak produces overwhelming destruction.
77,毒性の性質を持つバサルモス{j}の甲殻を利用し、加工した鎚。{j}たまに獲物を毒状態にする。,"A hammer crafted using the carapace of a Basarios,{j}which has poisonous properties. It occasionally{j}poisons its prey."
78,鉄と実力を二分する骨鎚。{j}溜め攻撃は目を見張る威力！{j}武器によるガードは無い。,A bone Hammer that rivals iron.{j}Its charged attack has astounding power!{j}It has no weapon guard.
79,鉄と実力を二分する骨鎚。{j}溜め攻撃は目を見張る威力！{j}武器によるガードは無い。,A bone Hammer that rivals iron.{j}Its charged attack has astounding power!{j}It has no weapon guard.
80,より大きい骨で製作されて{j}攻撃力を強化した大槌。{j}後の強化で４系統に派生する。,A hammer made from larger bones{j}that has enhanced attack power.{j}It branches into 4 paths with later upgrades.
81,大型の甲殻種が宿としていた、{j}飛竜の頭骨で作られた骨鎚。{j}装飾品との相性は抜群。,A bone hammer made from the skull of a Flying{j}Wyvern that a large Carapaceon once called home.{j}Its compatibility with decorations is superb.
82,より大きい骨で製作されて{j}攻撃力を強化した大槌。{j}後の強化で２系統に派生する。,A hammer made from larger bones{j}that has enhanced attack power.{j}It branches into 2 paths with later upgrades.
83,打突面に爪や牙を無数に刺し{j}こんだ骨鎚。飛竜の頭蓋骨も{j}粉砕する一撃を放つ。,A bone hammer studded with countless claws and{j}fangs on its striking face. It delivers a blow that{j}shatters even a Flying Wyvern's skull.
84,打突面に爪や牙を無数に刺し{j}こんだ骨鎚。飛竜の頭蓋骨も{j}粉砕する一撃を放つ。,A bone hammer studded with countless claws and{j}fangs on its striking face. It delivers a blow that{j}shatters even a Flying Wyvern's skull.
85,アトラスハンマー強化版。{j}イャンクックのクチバシを丸{j}ごとハンマーに加工した逸品。,"Atlas Hammer enhanced version. A masterpiece made{j}by processing an Yian Kut-Ku's beak, whole, into a{j}hammer."
86,ドドブランゴの素材を使用し{j}たハンマー。振るう度に噴き{j}出す冷気は魂さえも凍らせる。,A Hammer that uses{j}Blangonga materials. The cold air that spouts{j}out each time it is swung freezes even the soul.
87,グラビモスの甲殻を使用して{j}作られた、超重量の殻鎚。{j}その一撃は岩をも砕く。,An ultra-heavy shell hammer made using{j}Gravios carapace.{j}Its blow can shatter even rock.
88,バサルモスが成体になる前の{j}一番固い顔の甲殻を使用。{j}ベルトで無骨に止めている。,Uses the hardest facial carapace of a{j}Basarios before it reaches adulthood.{j}Held together by a rugged belt.
89,スカルクラッシュ強化版。{j}ディアブロスの尾が、ハンマ{j}ーになって再現された逸品。,Upgraded Skull Crash. A masterpiece that recreates{j}Diablos's tail as a{j}hammer.
90,雷光虫の放電でモンスターを{j}ショック状態にして、麻痺さ{j}せる特殊な構造の鎚。,A Hammer of special design that uses{j}Thunderbug discharges to Shock monsters{j}and paralyze them.
91,≪焔の龍冠≫の二つ名を持つ{j}灼熱の轟槌。その威力は凄ま{j}じく隕石の衝突にも匹敵する。,"A scorching roaring hammer bearing{j}the epithet ≪Flame Dragon Crown≫. Its power is{j}fearsome, rivaling even the impact of a meteorite."
92,≪焔の龍冠≫の二つ名を持つ{j}灼熱の轟槌。その威力は凄ま{j}じく隕石の衝突にも匹敵する。,"A scorching roaring hammer bearing{j}the epithet ≪Flame Dragon Crown≫. Its power is{j}fearsome, rivaling even the impact of a meteorite."
93,遠方の街の工房で開発された{j}機械鎚。その技術力は多くの{j}鍛冶工房を驚嘆させたという。,Mechanical Hammer developed at a workshop in a{j}distant city. Its technical prowess is said to have{j}astonished many smithing workshops.
94,竜人の最新技術を流用して{j}開発した機械鎚。工房の最高{j}傑作といえる武器である。,A mechanical Hammer developed using the latest{j}Wyverian technology. It is the Workshop's finest{j}masterpiece.
95,ハンマーとしての機能は果た{j}していない錆びた武器。{j}結晶研磨加工していくと…。,A rusted weapon that no longer{j}functions as a Hammer.{j}Keep crystal polishing it and...
96,ハンマーとしての機能は果た{j}していない錆びた武器。{j}結晶研磨加工していくと…。,A rusted weapon that no longer{j}functions as a Hammer.{j}Keep crystal polishing it and...
97,鋼龍の素材と古き槌との融合{j}により作られた氷冷槌。珠を{j}くわえた蛇が模されている。,"Ice-cold hammer forged from Kushala Daora{j}materials and an ancient hammer, modeled{j}after a gem-holding snake."
98,本来の姿を現した古代の軍鎚。{j}打突面に刺さった龍のブレス{j}の芯は、今もなお燃えている。,An ancient war hammer that has revealed its true{j}form. The core of the dragon's breath stuck in its{j}striking surface still burns even now.
99,なぞの骨の塊。{j}練習用のハンマー。{j},A mysterious clump of bone.{j}A Hammer for practice.{j}
100,なぞの骨の塊。{j}練習用のハンマー。{j},A mysterious clump of bone.{j}A Hammer for practice.{j}
101,老山龍の大爪を用いて、龍の{j}一撃と成す。古龍の武器には{j}龍殺しの力が宿ると伝わる。,"Using Lao-Shan Lung's Large Claw, it becomes a{j}dragon's blow. Elder Dragon weapons are said to be{j}imbued with dragon-slaying power."
102,老山龍の大爪を用いて、龍の{j}一撃と成す。古龍の武器には{j}龍殺しの力が宿ると伝わる。,"Using Lao-Shan Lung's Large Claw, it becomes a{j}dragon's blow. Elder Dragon weapons are said to be{j}imbued with dragon-slaying power."
103,扱いが難しい鉄製のランス。{j}ガード性能の高さと、突進時{j}のフィニッシュ技が特徴。,An iron Lance that is difficult to handle.{j}Its high guard performance and its{j}finishing move when charging are its hallmarks.
104,扱いが難しい鉄製のランス。{j}ガード性能の高さと、突進時{j}のフィニッシュ技が特徴。,An iron Lance that is difficult to handle.{j}Its high guard performance and its{j}finishing move when charging are its hallmarks.
105,より純度の高い鉱石を精製し{j}攻撃力を強化した大槍。{j},"Refined from higher-purity ore,{j}this Lance has enhanced Attack.{j}"
106,砦の兵装から生まれた究極の{j}鋼槍。使い手はあらゆる厄災{j}をはねのける城砦と化す。,"The ultimate steel lance, born from a fortress's{j}armaments. Its wielder becomes a citadel that{j}repels all calamity."
107,より純度の高い鉱石を精製し{j}攻撃力を強化した大槍。{j},"Refined from higher-purity ore,{j}this Lance has enhanced Attack.{j}"
108,多量のマカライト鋼で強化が{j}なされたナイトスクウィード。{j}大きな盾も特徴の一つ。,A Night Squid reinforced with{j}a large amount of Machalite Steel.{j}Its large shield is one of its features.
109,多量のマカライト鋼で強化が{j}なされたナイトスクウィード。{j}大きな盾も特徴の一つ。,A Night Squid reinforced with{j}a large amount of Machalite Steel.{j}Its large shield is one of its features.
110,安価に作成可能なガンランス。{j}性能面でも安定している。{j}まずはこれから。{c03}砲撃LV1{/c}。,A Gunlance that can be crafted cheaply.{j}It is also stable in performance.{j}Start with this.{c03}Shelling Lv1{/c}.
111,パラディンランス最終強化版。{j}伝説の塔をその名に冠する槍。{j}凄まじい存在感の豪鉄槍。,The final upgrade of the Paladin Lance.{j}A spear that bears the name of the legendary tower.{j}A mighty iron lance of overwhelming presence.
112,ハンマーがまだ一般化する前、{j}一人の老ハンターが愛用した{j}武器。オニノクロガネと読む。,"Before hammers became commonplace, a weapon favored{j}by an old Hunter. It is read as Demon's Black Iron.{j}"
113,安価に作成可能なガンランス。{j}性能面でも安定している。{j}まずはこれから。{c03}砲撃LV1{/c}。,A Gunlance that can be crafted cheaply.{j}It is also stable in performance.{j}Start with this.{c03}Shelling Lv1{/c}.
114,品質の良い高価なガンランス。{j}街のギルドに正式に卸されて{j}いる由緒ある一品。{c03}砲撃LV2{/c}。,"A high-quality, expensive Gunlance. A prestigious item{j}officially supplied to the town guild{j}.{c03}Shelling LV2{/c}."
115,カンタロスの堅い頭部を加工{j}した黒いランス。角にしびれ{j}薬を仕込んである。,A black Lance made by processing the hard head of a{j}Kantaros. A numbing drug is loaded in its horn.{j}
116,銀火竜の素材を用いた銃槍。{j}全体が銀色の鱗で覆われ高貴{j}な輝きを放つ。{c03}砲撃LV3{/c}。,"A Gunlance made from Silver Rathalos materials.{j}The whole is covered in silver scales, giving off a noble{j}radiance.{c03}Shelling Lv3{/c}."
117,カンタロスの堅い頭部を加工{j}した黒いランス。角にしびれ{j}薬を仕込んである。,A black Lance made by processing the hard head of a{j}Kantaros. A numbing drug is loaded in its horn.{j}
118,雷光虫の放電でモンスターを{j}ショック状態にして、麻痺さ{j}せる特殊な構造の槍。,A Lance of special design that uses{j}Thunderbug discharges to Shock monsters{j}and paralyze them.
119,雷光虫の放電でモンスターを{j}ショック状態にして、麻痺さ{j}せる特殊な構造の槍。,A Lance of special design that uses{j}Thunderbug discharges to Shock monsters{j}and paralyze them.
120,軽量級の骨槍。材料も入手し{j}やすく、斬れ味が長持ちする{j}ので扱いやすい槍である。,"A lightweight Bone Lance. Its materials are{j}easy to gather and its sharpness lasts{j}a long time, making it an easy-to-handle lance."
121,炎妃龍の素材を丹念に研磨し{j}織り込んだ銃槍。蒼炎の一撃{j}が獲物を砕く。{c03}砲撃LV1{/c}。,A Gunlance carefully polished and{j}woven from Lunastra materials. Its blue-flame strike{j}shatters its prey.{c03}Shelling LV1{/c}.
122,軽量級の骨槍。材料も入手し{j}やすく、斬れ味が長持ちする{j}ので扱いやすい槍である。,"A lightweight Bone Lance. Its materials are{j}easy to gather and its sharpness lasts{j}a long time, making it an easy-to-handle lance."
123,骨加工の特徴である属性強化。{j}槍で突いたときに、ヒレの刃{j}から高圧縮の水が出る。,"Element enhancement, a hallmark of bone working.{j}When the lance is thrust, highly compressed water{j}shoots from its fin blade."
124,炎妃龍の素材を丹念に研磨し{j}織り込んだ銃槍。蒼炎の一撃{j}が獲物を砕く。{c03}砲撃LV2{/c}。,A Gunlance carefully polished and{j}woven from Lunastra materials. Its blue-flame strike{j}shatters its prey.{c03}Shelling LV2{/c}.
125,ネムリ草の催眠成分を濃縮し、{j}水刃の中に溶け込ませた槍。{j}睡眠効果としては発展途上。,A lance that concentrates the sleep-inducing{j}essence of the Sleep Herb and blends it into its{j}water blade. Its sleep effect is still developing.
126,溶岩にも耐えるグラビモスの{j}甲殻を槍身と盾に使用。斬れ{j}味と耐久力が秀逸。{c03}砲撃LV1{/c}。,"The{j}shell of a Gravios, proof against even lava, is used for the lance and shield. Its sharpness{j}and durability are superb.{c03}Shelling Lv1{/c}."
127,鉄と実力を二分する骨ランス。{j}ガード性能の高さと、突進時{j}のフィニッシュ技が特徴。,A bone Lance that rivals iron in might. It is known{j}for its high guard performance and a finishing move{j}when charging.
128,鉄と実力を二分する骨ランス。{j}ガード性能の高さと、突進時{j}のフィニッシュ技が特徴。,A bone Lance that rivals iron in might. It is known{j}for its high guard performance and a finishing move{j}when charging.
129,多量の骨素材から良質な部分{j}のみを摘出して強化した大槍。{j}後の強化で４系統に派生する。,A great spear reinforced by extracting only{j}high-quality parts from a large amount of bone{j}material. Further upgrades branch into 4 paths.
130,黒き鎧竜の堅殻を用いた銃槍。{j}全てを込めた一撃は、鎧竜の{j}熱線も凌駕する。{c03}砲撃LV2{/c}。,A Gunlance made from the hard shell of a black Armor Wyvern.{j}A blow with everything behind it surpasses even{j}the Armor Wyvern's heat ray.{c03}Shelling LV2{/c}.
131,多量の骨素材から良質な部分{j}のみを摘出して強化した大槍。{j}後の強化で３系統に派生する。,A great spear reinforced by extracting only{j}high-quality parts from a large amount of bone{j}material. Further upgrades branch into 3 paths.
132,荒くれ者のハンターが好んで{j}使うことの多い骨槍。{j}別名≪ドクロランス≫,A bone lance that rough-and-tumble{j}Hunters often favor.{j}Also known as ≪Skull Lance≫
133,凍気を放つ雪獅子の素材を{j}使い、高い冷却機能を備えた{j}ガンランス。{c03}砲撃LV2{/c}。,"A{j}Gunlance with high cooling capabilities,{j}crafted from the materials of the frost-emanating Blangonga.{c03}Shelling LV2{/c}."
134,弾力に富んだ皮と、良質な鉱{j}石を組み合わせた巨大な銃槍。{j}毒属性が強力。{c03}砲撃LV2{/c}。,A giant Gunlance combining highly elastic hide{j}with quality ore.{j}Its Poison element is powerful.{c03}Shelling LV2{/c}.
135,バーバリアンタスク上位強化{j}版。辺境ハンターの豪傑達が{j}愛用する豪骨槍。,An upper-rank enhanced{j}version of the Barbarian Tusk. A mighty bone lance{j}favored by the champions of the frontier.
136,雄火竜リオレウスの尻尾から{j}加工された槍。刀身は細いが、{j}高熱の炎を噴きだす炎槍。,"A lance worked from the tail of the male fire{j}wyvern Rathalos. The blade is slender, yet it spews{j}searing flame."
137,ボーンクロウランスの改造版。{j}ガンランスの機構を組み込み、{j}遠距離戦にも対応。{c03}砲撃LV2{/c}。,"A modified Bone Claw Lance.{j}Incorporates Gunlance mechanisms,{j}and also supports long-range combat.{c03}Shelling Lv2{/c}."
138,龍木を加工し作られた、{j}竜人族秘伝の銃槍。{c03}砲撃LV3{/c}。{j}構造上、中折れ式ではない。,"A Gunlance crafted from Dragonwood,{j}a secret art of the Wyverians.{c03}Shelling LV3{/c}.{j}Its structure makes it a non-break-action type."
139,重厚にして鋭利、ディアブロ{j}スの自慢の角を槍に加工。{j}砂漠の覇者の風格がただよう。,"Heavy yet sharp, the prized horns of a Diablos{j}worked into a lance.{j}It carries the bearing of a desert ruler."
